_id,Model year,Make,Model,Vehicle class,Motor (kW),Engine size (L),Cylinders,Transmission,Fuel type 1,Combined Le/100 km,Range 1 (km),Recharge time (h),Fuel type 2,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating,Combined kWh/100 km,Combined L/100 km
237,2023,Lexus,NX 450h+ AWD,Sport utility vehicle: Small,134,2.5,4,AV6,E/PG*,2.8,61,4.5,Z,6.2,7.0,6.6,835,54,10.0,7.0,24.7,0.0
196,2022,Lexus,NX 450h+ AWD,Sport utility vehicle: Small,134,2.5,4,AV6,E/PG*,2.8,61,4.5,Z,6.2,7.0,6.6,835,54,10.0,7.0,24.7,0.0
279,2024,Lexus,NX 450h+ AWD,Sport utility vehicle: Small,134,2.5,4,AV6,E/PG*,2.8,61,4.5,Z,6.2,7.0,6.6,835,54,10.0,7.0,24.7,0.0
45,2017,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,E/G*,2.8,53,2.0,X,7.3,7.2,7.3,858,66,10.0,8.0,24.9,0.0
236,2023,Kia,Sportage Plug-in Hybrid,Sport utility vehicle: Small,67,1.6,4,AM6,E/G*,2.8,55,2.0,X,6.6,6.7,6.7,632,60,10.0,7.0,24.9,0.0
277,2024,Kia,Sportage Plug-in Hybrid,Sport utility vehicle: Small,67,1.6,4,AM6,E/G*,2.8,55,2.0,X,6.6,6.7,6.7,632,60,10.0,7.0,24.9,0.0
66,2018,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,E/G*,2.8,53,2.0,X,7.3,7.2,7.3,858,66,10.0,7.0,24.9,0.0
280,2024,Lexus,RX 450h+ AWD,Sport utility vehicle: Standard,134,2.5,4,AV6,E/PG*,2.8,60,2.5,Z,6.4,7.1,6.7,818,55,10.0,7.0,25.0,0.0
21,2016,Audi,A3 e-tron,Compact,80,1.4,4,A6,E/PG*,2.8,26,2.5,Z,7.1,6.4,6.8,591,98,10.0,10.0,25.2,0.0
56,2018,Audi,A3 e-tron,Compact,80,1.4,4,AM6,E/PG*,2.8,26,2.0,Z,6.8,6.0,6.5,623,93,10.0,7.0,25.2,0.0
37,2017,Audi,A3 e-tron,Compact,80,1.4,4,A6,E/PG*,2.8,26,2.5,Z,7.2,6.6,6.9,579,98,10.0,8.0,25.5,0.0
6,2014,Cadillac,ELR,Compact,117,1.4,4,AV,E,2.9,59,5.0,Z,7.6,6.7,7.2,493,50,,10.0,25.3,
228,2023,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,E/G*,2.9,51,2.0,X,8.0,7.9,8.0,784,74,10.0,7.0,25.8,0.0
151,2021,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,E/G*,2.9,51,2.0,X,8.0,7.9,8.0,784,74,10.0,7.0,25.8,0.0
89,2019,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,E/G*,2.9,51,2.0,X,8.0,7.9,8.0,784,74,10.0,7.0,25.8,0.0
117,2020,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,E/G*,2.9,51,2.0,X,8.0,7.9,8.0,784,74,10.0,7.0,25.8,0.0
187,2022,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,E/G*,2.9,51,2.0,X,8.0,7.9,8.0,784,74,10.0,7.0,25.8,0.0
263,2024,Chrysler,Pacifica Hybrid,Minivan,89,3.6,6,AV,E/G*,2.9,51,2.0,X,8.0,7.9,8.0,784,74,9.0,7.0,25.8,0.0
