Year,Make,Model,Vehicle class,Motor (kW),Engine Capacity (cm3),Fuel type 1,Combined (E) (Le/100 km),Combined (E) (kWh/100 km),Combined (E) (L/100 km),Range 1 (km),Recharge time (h),Fuel type 2,City (F) (L/100 km),Highway (F) (L/100 km),Combined (F) (L/100 km),Range 2 (km),Price (euros)
2021,BMW,330e xDrive,Compact,83,2000.0,E/PG*,3.5,31.5,0.0,32,3.0,PG,10.7,7.9,9.4,436,0
2021,Lincoln,Corsair Grand Touring,Sport utility vehicle: Small,62,2500.0,E/G*,3.0,26.9,0.0,45,3.4,G,6.9,7.3,7.1,644,0
2021,Subaru,Crosstrek Hybrid AWD,Sport utility vehicle: Small,100,2000.0,E/G*,2.6,23.5,0.0,27,2.0,G,6.6,6.8,6.7,747,0
2021,BMW,330e,Compact,83,2000.0,E/PG*,3.1,27.8,0.0,37,3.0,PG,9.4,7.2,8.4,486,52000
2021,Toyota,RAV4 Prime,Sport utility vehicle: Small,134,2500.0,E/G*,2.5,22.3,0.0,68,4.5,G,5.7,6.4,6.0,911,0
2021,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Small,70,2400.0,E/G*,3.2,28.2,0.0,39,4.0,G,9.2,9.0,9.1,470,0
2021,BMW,i3s REx (120 Ah),Subcompact,135,600.0,E,2.4,19.9,,203,7.0,PG,7.8,7.5,7.7,116,0
2021,BMW,i3 REx (120 Ah),Subcompact,125,600.0,E,2.4,19.9,,203,7.0,PG,7.8,7.5,7.7,116,0
2021,Chrysler,Pacifica Hybrid,Minivan,89,3600.0,E/G*,2.9,25.8,0.0,51,2.0,G,8.0,7.9,8.0,784,0
2021,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,62,2500.0,E/G*,2.2,20.2,0.0,60,3.3,G,5.5,6.2,5.8,784,0
2021,Volvo,V60 T8 AWD,Station wagon: Small,65,2000.0,E/PG*,3.2,29.0,0.0,35,3.0,PG,8.4,7.0,7.8,781,0
2021,MINI,Cooper SE Countryman ALL4,Mid-size,65,1500.0,E/PG*,3.2,28.4,0.0,29,3.0,PG,8.1,7.9,8.0,451,0
2021,Volvo,S60 T8 AWD,Compact,65,2000.0,E/PG*,3.2,29.0,0.0,35,3.0,PG,8.4,7.0,7.8,781,0
2021,Toyota,Prius Prime,Mid-size,71,1800.0,E/G*,1.8,15.8,0.0,40,2.0,G,4.3,4.4,4.3,995,0
2021,Hyundai,IONIQ Plug-in Hybrid,Mid-size,45,1600.0,E/G*,2.0,17.4,0.0,47,2.3,G,4.5,4.6,4.5,954,0
