_id,Model year,Make,Model,Vehicle class,Motor (kW),Transmission,Fuel type,City (kWh/100 km),Highway (kWh/100 km),Combined (kWh/100 km),City (Le/100 km),Highway (Le/100 km),Combined (Le/100 km),Range (km),CO2 emissions (g/km),CO2 rating,Smog rating,Recharge time (h)
6021,2016,Tesla,Model S P85D/P90D,Full-size,568,A1,B,23.4,21.5,22.5,2.6,2.4,2.5,407,0,10,n/a,12
6022,2016,Tesla,Model S P90D (Refresh),Full-size,568,A1,B,22.9,21.0,22.1,2.6,2.4,2.5,435,0,10,n/a,12
6023,2016,Tesla,Model S P100D,Full-size,568,A1,B,22.6,20.0,21.5,2.5,2.3,2.4,507,0,10,n/a,12
6024,2016,Tesla ,Model X 60D,Sport utility vehicle: Standard,386,A1,B,23.0,22.2,22.6,2.6,2.5,2.5,322,0,10,n/a,10
6025,2016,Tesla,Model X 75D,Sport utility vehicle: Standard,386,A1,B,23.0,21.9,22.5,2.6,2.5,2.5,383,0,10,n/a,12
6026,2016,Tesla,Model X 90D,Sport utility vehicle: Standard,386,A1,B,23.2,22.2,22.7,2.6,2.5,2.6,414,0,10,n/a,12
6027,2016,Tesla,Model X P90D,Sport utility vehicle: Standard,568,A1,B,23.6,23.3,23.5,2.7,2.6,2.6,402,0,10,n/a,12
6028,2016,Tesla,Model X P100D,Sport utility vehicle: Standard,568,A1,B,25.7,22.9,24.4,2.9,2.6,2.7,465,0,10,n/a,12
6029,2017,BMW,i3 (60 Ah),Subcompact,125,A1,B,15.2,18.8,16.8,1.7,2.1,1.9,130,0,10,10,4
6030,2017,BMW,i3 (94 Ah),Subcompact,125,A1,B,16.2,19.7,17.8,1.8,2.2,2.0,183,0,10,10,5
6031,2017,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,16.4,19.0,17.6,1.8,2.1,2.0,383,0,10,10,9.3
6032,2017,Ford,Focus Electric,Compact,107,A1,B,17.7,21.8,19.6,2.0,2.5,2.2,185,0,10,10,5.5
6033,2017,Hyundai,IONIQ Electric,Mid-size,88,A1,B,13.7,17.4,15.5,1.6,1.9,1.7,200,0,10,10,4
6034,2017,Kia,Soul EV,Station wagon: Small,81,A1,B,17.4,23.0,19.9,2.0,2.6,2.2,150,0,10,10,4
6035,2017,Mitsubishi,i-MiEV,Subcompact,49,A1,B,16.9,20.5,18.7,1.9,2.3,2.1,100,0,10,10,7
6036,2017,Nissan,LEAF,Mid-size,80,A1,B,17.0,20.7,18.6,1.9,2.3,2.1,172,0,10,10,6
6037,2017,Tesla,Model S (60 kWh),Full-size,285,A1,B,21.5,20.7,21.1,2.4,2.3,2.4,338,0,10,10,10
6038,2017,Tesla,Model S (75 kWh),Full-size,285,A1,B,21.5,21.0,21.3,2.4,2.4,2.4,401,0,10,10,12
6039,2017,Tesla,Model S 60D,Full-size,386,A1,B,20.6,19.6,20.2,2.3,2.2,2.3,351,0,10,10,10
6040,2017,Tesla,Model S 75D,Full-size,386,A1,B,20.6,19.9,20.3,2.3,2.2,2.3,417,0,10,10,12
6041,2017,Tesla,Model S 90D,Full-size,386,A1,B,20.6,19.7,20.2,2.3,2.2,2.3,473,0,10,10,12
6042,2017,Tesla,Model S 100D,Full-size,386,A1,B,20.7,20.5,20.6,2.3,2.3,2.3,539,0,10,10,12
6043,2017,Tesla,Model S P90D,Full-size,568,A1,B,22.8,20.9,22.0,2.6,2.3,2.5,435,0,10,10,12
6044,2017,Tesla ,Model S P100D,Full-size,568,A1,B,22.6,20.0,21.5,2.5,2.3,2.4,507,0,10,10,12
6045,2017,Tesla ,Model X 60D,Sport utility vehicle: Standard,386,A1,B,23.0,22.2,22.6,2.6,2.5,2.5,322,0,10,10,10
6046,2017,Tesla ,Model X 75D,Sport utility vehicle: Standard,386,A1,B,23.0,21.9,22.5,2.6,2.5,2.5,383,0,10,10,12
6047,2017,Tesla ,Model X 90D,Sport utility vehicle: Standard,386,A1,B,23.2,22.2,22.7,2.6,2.5,2.6,414,0,10,10,12
6048,2017,Tesla ,Model X 100D,Sport utility vehicle: Standard,386,A1,B,24.3,23.7,24.0,2.7,2.7,2.7,475,0,10,10,12
6049,2017,Tesla ,Model X P90D,Sport utility vehicle: Standard,568,A1,B,23.6,23.3,23.5,2.7,2.6,2.6,402,0,10,10,12
6050,2017,Tesla ,Model X P100D,Sport utility vehicle: Standard,568,A1,B,25.7,22.9,24.4,2.9,2.6,2.7,465,0,10,10,12
6051,2017,Volkswagen,e-Golf,Compact,100,A1,B,16.8,18.6,17.4,1.9,2.1,2.0,201,0,10,10,5.3
6052,2018,BMW,i3,Subcompact,125,A1,B,16.2,19.7,17.8,1.8,2.2,2.0,183,0,10,10,5
6053,2018,BMW,i3s,Subcompact,135,A1,B,17.1,21.1,18.9,1.9,2.4,2.1,172,0,10,10,5
6054,2018,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,16.4,19.0,17.6,1.8,2.1,2.0,383,0,10,10,9.3
6055,2018,Ford,Focus Electric,Compact,107,A1,B,17.7,21.8,19.6,2.0,2.5,2.2,185,0,10,10,5.5
6056,2018,Hyundai,IONIQ Electric,Mid-size,88,A1,B,13.7,17.4,15.5,1.6,1.9,1.7,200,0,10,10,4
6057,2018,Kia,Soul EV,Station wagon: Small,81,A1,B,16.8,22.4,19.3,1.9,2.5,2.2,179,0,10,10,5
6058,2018,Nissan,LEAF,Mid-size,110,A1,B,16.9,21.1,18.8,1.9,2.4,2.1,242,0,10,10,8
6059,2018,smart,fortwo electric drive cabriolet,Two-seater,60,A1,B,18.7,23.1,20.7,2.1,2.6,2.3,92,0,10,10,3
6060,2018,smart,fortwo electric drive coupe,Two-seater,60,A1,B,16.9,22.3,19.3,1.9,2.5,2.2,93,0,10,10,3
6061,2018,Tesla,Model 3 Mid Range,Mid-size,202,A1,B,16.4,17.9,17.1,1.8,2.0,1.9,418,0,10,10,10
6062,2018,Tesla,Model 3 Long Range,Mid-size,202,A1,B,15.3,17.0,16.1,1.7,1.9,1.8,499,0,10,10,10
6063,2018,Tesla,Model 3 Long Range AWD,Mid-size,335,A1,B,17.4,18.7,18.0,2.0,2.1,2.0,499,0,10,10,10
6064,2018,Tesla,Model 3 Long Range AWD Performance,Mid-size,358,A1,B,17.4,18.7,18.0,2.0,2.1,2.0,499,0,10,10,10
6065,2018,Tesla,Model S (75 kWh),Full-size,285,A1,B,21.5,21.0,21.3,2.4,2.4,2.4,401,0,10,10,12
6066,2018,Tesla,Model S 75D,Full-size,386,A1,B,20.6,19.9,20.3,2.3,2.2,2.3,417,0,10,10,12
6067,2018,Tesla,Model S 100D,Full-size,386,A1,B,20.7,20.5,20.6,2.3,2.3,2.3,539,0,10,10,12
6068,2018,Tesla,Model S P100D,Full-size,568,A1,B,22.6,20.0,21.5,2.5,2.3,2.4,507,0,10,10,12
6069,2018,Tesla,Model X 75D,Sport utility vehicle: Standard,386,A1,B,23.0,21.9,22.5,2.6,2.5,2.5,383,0,10,10,12
6070,2018,Tesla,Model X 100D,Sport utility vehicle: Standard,386,A1,B,24.3,23.7,24.0,2.7,2.7,2.7,475,0,10,10,12
6071,2018,Tesla,Model X P100D,Sport utility vehicle: Standard,568,A1,B,25.4,23.6,24.6,2.8,2.7,2.8,465,0,10,10,12
6072,2018,Volkswagen,e-Golf,Compact,100,A1,B,16.8,18.6,17.4,1.9,2.1,2.0,201,0,10,10,5.3
6073,2019,Audi,e-tron 55 quattro,Sport utility vehicle: Standard,300,A1,B,28.0,28.5,28.3,3.2,3.2,3.2,329,0,10,10,10
6074,2019,BMW,i3 (120 Ah),Subcompact,125,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246,0,10,10,7
6075,2019,BMW,i3s (120 Ah),Subcompact,135,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246,0,10,10,7
6076,2019,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,16.4,19.0,17.6,1.8,2.1,2.0,383,0,10,10,9.3
6077,2019,Hyundai,IONIQ Electric,Mid-size,88,A1,B,13.7,17.4,15.5,1.6,1.9,1.7,200,0,10,10,4
6078,2019,Hyundai,Kona Electric,Sport utility vehicle: Small,150,A1,B,16.2,19.3,17.4,1.8,2.2,2.0,415,0,10,10,9
6079,2019,Jaguar,I-PACE,Sport utility vehicle: Small,294,A1,B,26.2,29.1,27.5,2.9,3.3,3.1,377,0,10,10,13
6080,2019,Kia,Niro EV,Station wagon: Small,150,A1,B,17.0,20.6,18.6,1.9,2.3,2.1,385,0,10,10,9.5
6081,2019,Kia,Soul EV,Station wagon: Small,81,A1,B,16.8,22.4,19.3,1.9,2.5,2.2,179,0,10,10,5
6082,2019,Nissan,LEAF (40 kWh),Mid-size,110,A1,B,16.8,21.0,18.7,1.9,2.4,2.1,243,0,10,10,8
6083,2019,Nissan,LEAF S PLUS,Mid-size,160,A1,B,17.8,21.5,19.5,2.0,2.4,2.2,363,0,10,10,11
6084,2019,Nissan,LEAF SV/SL PLUS,Mid-size,160,A1,B,18.3,22.1,20.0,2.1,2.5,2.2,349,0,10,10,11
6085,2019,smart EQ,fortwo cabriolet,Two-seater,60,A1,B,18.7,23.1,20.7,2.1,2.6,2.3,92,0,10,10,3
6086,2019,smart EQ,fortwo coupe,Two-seater,60,A1,B,16.9,22.3,19.3,1.9,2.5,2.2,93,0,10,10,3
6087,2019,Tesla,Model 3 Standard Range,Mid-size,211,A1,B,14.8,16.5,15.6,1.7,1.9,1.7,151,0,10,10,3.7
6088,2019,Tesla,Model 3 Standard Range Plus,Mid-size,211,A1,B,14.9,16.8,15.8,1.7,1.9,1.8,386,0,10,10,8.5
6089,2019,Tesla,Model 3 Mid Range,Mid-size,211,A1,B,16.4,17.9,17.1,1.8,2.0,1.9,425,0,10,10,10
6090,2019,Tesla,Model 3 Long Range,Mid-size,211,A1,B,15.3,17.0,16.1,1.7,1.9,1.8,499,0,10,10,10
6091,2019,Tesla,Model 3 Long Range AWD,Mid-size,335,A1,B,17.4,18.7,18.0,2.0,2.1,2.0,499,0,10,10,10
6092,2019,Tesla,Model 3 Long Range AWD Performance,Mid-size,358,A1,B,17.4,18.7,18.0,2.0,2.1,2.0,499,0,10,10,10
6093,2019,Tesla,Model S 75D,Full-size,386,A1,B,20.6,19.9,20.3,2.3,2.2,2.3,417,0,10,10,12
6094,2019,Tesla,Model S 100D,Full-size,386,A1,B,20.7,20.5,20.6,2.3,2.3,2.3,539,0,10,10,12
6095,2019,Tesla,Model S P100D,Full-size,568,A1,B,22.6,20.0,21.5,2.5,2.3,2.4,507,0,10,10,12
6096,2019,Tesla,Model S Standard Range,Full-size,398,A1,B,18.5,20.0,19.2,2.1,2.2,2.2,459,0,10,10,9
6097,2019,Tesla,Model S Long Range,Full-size,398,A1,B,18.2,19.5,18.8,2.0,2.2,2.1,595,0,10,10,12
6098,2019,Tesla,"Model S Performance (19"" Wheels)",Full-size,580,A1,B,20.1,20.2,20.2,2.3,2.3,2.3,555,0,10,10,12
6099,2019,Tesla,"Model S Performance (21"" Wheels)",Full-size,580,A1,B,21.3,21.9,21.6,2.4,2.5,2.4,523,0,10,10,12
6100,2019,Tesla,Model X 75D,Sport utility vehicle: Standard,386,A1,B,23.0,21.9,22.5,2.6,2.5,2.5,383,0,10,10,12
6101,2019,Tesla,Model X 100D,Sport utility vehicle: Standard,386,A1,B,24.3,23.7,24.0,2.7,2.7,2.7,475,0,10,10,12
6102,2019,Tesla,Model X P100D,Sport utility vehicle: Standard,568,A1,B,25.4,23.6,24.6,2.8,2.7,2.8,465,0,10,10,12
6103,2019,Tesla,Model X Standard Range,Sport utility vehicle: Standard,398,A1,B,20.0,21.5,20.7,2.2,2.4,2.3,410,0,10,10,9
6104,2019,Tesla,Model X Long Range,Sport utility vehicle: Standard,398,A1,B,21.2,22.5,21.8,2.4,2.5,2.4,523,0,10,10,12
6105,2019,Tesla,"Model X Performance (20"" Wheels)",Sport utility vehicle: Standard,580,A1,B,23.2,23.5,23.3,2.6,2.6,2.6,491,0,10,10,12
6106,2019,Tesla,"Model X Performance (22"" Wheels)",Sport utility vehicle: Standard,580,A1,B,26.2,27.1,26.6,2.9,3.0,3.0,435,0,10,10,12
6107,2019,Volkswagen,e-Golf,Compact,100,A1,B,16.8,18.6,17.4,1.9,2.1,2.0,201,0,10,10,5.3
6108,2020,Audi,e-tron Sportback 55 quattro,Sport utility vehicle: Standard,300,A1,B,27.6,26.9,27.3,3.1,3.0,3.1,351,0,10,10,10
6109,2020,BMW,i3 (120 Ah),Subcompact,125,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246,0,10,10,7
6110,2020,BMW,i3s (120 Ah),Subcompact,135,A1,B,16.8,20.6,18.5,1.9,2.3,2.1,246,0,10,10,7
6111,2020,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,16.5,19.5,17.8,1.9,2.2,2.0,417,0,10,10,10
6112,2020,Hyundai,IONIQ Electric,Mid-size,100,A1,B,14.5,17.4,15.8,1.6,1.9,1.8,274,0,10,10,5.8
6113,2020,Hyundai,Kona Electric,Sport utility vehicle: Small,150,A1,B,16.2,19.3,17.4,1.8,2.2,2.0,415,0,10,10,9
6114,2020,Jaguar,I-PACE,Sport utility vehicle: Small,294,A1,B,26.2,29.1,27.5,2.9,3.3,3.1,377,0,10,10,13
6115,2020,Kia,Niro EV,Station wagon: Small,150,A1,B,17.0,20.6,18.6,1.9,2.3,2.1,385,0,10,10,9.5
6116,2020,Kia,Soul EV (120 Ah),Station wagon: Small,150,A1,B,15.5,20.5,18.0,1.8,2.3,2.0,248,0,10,10,6
6117,2020,Kia,Soul EV (180 Ah),Station wagon: Small,150,A1,B,16.8,21.1,18.6,1.9,2.4,2.1,383,0,10,10,9.5
6118,2020,MINI,Cooper SE 3 Door,Subcompact,135,A1,B,18.2,20.9,19.4,2.0,2.3,2.2,177,0,10,10,4
6119,2020,Nissan,LEAF (40 kWh),Mid-size,110,A1,B,17.0,21.2,18.9,1.9,2.4,2.1,240,0,10,10,8
6120,2020,Nissan,LEAF S PLUS,Mid-size,160,A1,B,17.8,21.5,19.5,2.0,2.4,2.2,363,0,10,10,11
6121,2020,Nissan,LEAF SV/SL PLUS,Mid-size,160,A1,B,18.3,22.1,20.0,2.1,2.5,2.2,349,0,10,10,11
